latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-10.112,150.013,320.6,1,1,2019-11-27,00:15,T,63,6.0NRT,301.7,10.6,D
-29.192,152.751,347.9,1.8,1.3,2019-11-27,00:20,T,91,6.0NRT,297.2,116.7,D
-29.196,152.788,335.3,1.8,1.3,2019-11-27,00:20,T,20,6.0NRT,298.8,52.8,D
-29.21,152.921,325.8,1.8,1.3,2019-11-27,00:20,T,71,6.0NRT,303.5,25.1,D
-29.212,152.94,320.9,1.8,1.3,2019-11-27,00:20,T,45,6.0NRT,301.8,13.5,D
-29.19,152.782,341.2,1.8,1.3,2019-11-27,00:20,T,76,6.0NRT,297,70.3,D
-29.192,152.801,342.3,1.8,1.3,2019-11-27,00:20,T,80,6.0NRT,300.1,73.3,D
-29.196,152.839,328.1,1.8,1.3,2019-11-27,00:20,T,42,6.0NRT,301.3,26.3,D
-30.639,147.548,326.2,1,1,2019-11-27,00:20,T,45,6.0NRT,312.1,7,D
-30.63,147.549,340.7,1,1,2019-11-27,00:20,T,85,6.0NRT,314.7,28.1,D
-31.182,152.647,315.3,1.9,1.3,2019-11-27,00:20,T,49,6.0NRT,293.6,23.2,D
-30.352,149.133,323.4,1.1,1.1,2019-11-27,00:20,T,55,6.0NRT,306.9,10.2,D
-30.351,149.121,325.2,1.1,1.1,2019-11-27,00:20,T,62,6.0NRT,306.3,12.7,D
-30.178,149.283,328.9,1.2,1.1,2019-11-27,00:20,T,67,6.0NRT,314.1,13.1,D
-29.95,152.098,317.9,1.7,1.3,2019-11-27,00:20,T,48,6.0NRT,295.7,23.7,D
-29.72,152.642,316.5,1.8,1.3,2019-11-27,00:20,T,22,6.0NRT,298.6,16.2,D
-29.661,152.6,333.9,1.8,1.3,2019-11-27,00:20,T,67,6.0NRT,299.1,57.4,D
-29.144,152.302,333.8,1.7,1.3,2019-11-27,00:20,T,77,6.0NRT,296.5,57.1,D
-15.824,144.045,323.9,1.9,1.4,2019-11-27,00:20,T,53,6.0NRT,300.4,13.4,D
-15.595,144.323,331,1.9,1.3,2019-11-27,00:20,T,78,6.0NRT,301.1,29.6,D
-15.592,144.306,331,1.9,1.3,2019-11-27,00:20,T,78,6.0NRT,301.6,30.8,D
-15.58,144.236,326.8,1.9,1.3,2019-11-27,00:20,T,55,6.0NRT,299.8,20.1,D
-15.565,144.293,327.2,1.9,1.3,2019-11-27,00:20,T,64,6.0NRT,299,26.1,D
-15.385,144.076,336.2,2,1.4,2019-11-27,00:20,T,84,6.0NRT,300.2,62.3,D
-15.11,145.008,322.9,1.7,1.3,2019-11-27,00:20,T,43,6.0NRT,297.7,23.1,D
-15.005,145.003,336.7,1.7,1.3,2019-11-27,00:20,T,85,6.0NRT,300.6,64.6,D
-12.885,143.249,319.8,2.5,1.5,2019-11-27,00:20,T,40,6.0NRT,295.7,34.9,D
-12.866,143.461,328.5,2.4,1.5,2019-11-27,00:20,T,35,6.0NRT,298.4,54.2,D
-12.873,143.466,323.9,2.4,1.5,2019-11-27,00:20,T,39,6.0NRT,299.5,36.8,D
-11.996,142.808,316.7,2.9,1.6,2019-11-27,00:20,T,55,6.0NRT,294.7,30.1,D
-25.745,153.022,330.8,1.7,1.3,2019-11-27,00:20,T,56,6.0NRT,296.5,49.4,D
-25.746,153.039,327.2,1.7,1.3,2019-11-27,00:20,T,63,6.0NRT,293,39.7,D
-24.989,143.864,332.2,1.4,1.2,2019-11-27,00:20,T,68,6.0NRT,315.8,13.6,D
-25.97,145.661,328.4,1.1,1,2019-11-27,00:20,T,39,6.0NRT,314.6,5.8,D
-25.972,145.672,330.1,1.1,1,2019-11-27,00:20,T,58,6.0NRT,314.5,8.3,D
-28.245,152.716,324.3,1.7,1.3,2019-11-27,00:20,T,53,6.0NRT,301.1,29.1,D
-28.257,152.714,327.2,1.7,1.3,2019-11-27,00:20,T,65,6.0NRT,301.8,36.4,D
-29.133,153.291,318.3,1.9,1.4,2019-11-27,00:20,T,23,6.0NRT,295.9,26.4,D
-29.145,153.29,348.8,1.9,1.4,2019-11-27,00:20,T,94,6.0NRT,296.4,136,D
-29.173,152.792,325.5,1.8,1.3,2019-11-27,00:20,T,15,6.0NRT,297,34.9,D
-29.23,153.355,335.9,2,1.4,2019-11-27,00:20,T,33,6.0NRT,302.8,53.4,D
-29.185,152.79,355.6,1.8,1.3,2019-11-27,00:20,T,91,6.0NRT,298.7,148.3,D
-29.187,152.809,347.3,1.8,1.3,2019-11-27,00:20,T,74,6.0NRT,300.5,102.6,D
-29.188,152.828,337.8,1.8,1.3,2019-11-27,00:20,T,73,6.0NRT,300.8,62.3,D
-29.19,152.847,329.3,1.8,1.3,2019-11-27,00:20,T,39,6.0NRT,301.9,32.9,D
-29.242,153.354,338.6,2,1.4,2019-11-27,00:20,T,0,6.0NRT,305.5,64.6,D
-29.147,152.321,327,1.7,1.3,2019-11-27,00:20,T,55,6.0NRT,298.8,35,D
-29.659,152.58,330.2,1.8,1.3,2019-11-27,00:20,T,41,6.0NRT,296.1,46.8,D
-29.409,153.172,326.7,1.9,1.4,2019-11-27,00:20,T,57,6.0NRT,298.2,38,D
-29.406,153.178,328.2,1.9,1.4,2019-11-27,00:20,T,63,6.0NRT,299.2,42.2,D
-29.404,153.159,327.2,1.9,1.3,2019-11-27,00:20,T,39,6.0NRT,297.5,38.5,D
-29.393,153.18,340.2,1.9,1.4,2019-11-27,00:20,T,88,6.0NRT,300.1,85,D
-29.391,153.16,379.4,1.9,1.3,2019-11-27,00:20,T,100,6.0NRT,299.4,362.2,D
-29.381,153.182,326.9,1.9,1.4,2019-11-27,00:20,T,61,6.0NRT,296.6,38.2,D
-29.358,153.327,330.2,2,1.4,2019-11-27,00:20,T,0,6.0NRT,298.4,47.6,D
-29.356,153.307,330.7,2,1.4,2019-11-27,00:20,T,20,6.0NRT,300,46.2,D
-29.346,153.329,329,2,1.4,2019-11-27,00:20,T,39,6.0NRT,300.6,38.8,D
-29.338,153.248,326,1.9,1.4,2019-11-27,00:20,T,68,6.0NRT,298,36.5,D
-29.291,152.765,321.2,1.8,1.3,2019-11-27,00:20,T,34,6.0NRT,300.4,16.8,D
-29.246,152.313,330.4,1.7,1.3,2019-11-27,00:20,T,43,6.0NRT,295.5,48,D
-29.244,152.296,337.8,1.7,1.3,2019-11-27,00:20,T,83,6.0NRT,294.8,70.3,D
-29.355,153.333,328.4,2,1.4,2019-11-27,00:20,T,36,6.0NRT,299.4,39.1,D
-29.303,152.826,321.2,1.8,1.3,2019-11-27,00:20,T,34,6.0NRT,297.2,21.2,D
-29.235,152.304,352.5,1.7,1.3,2019-11-27,00:20,T,96,6.0NRT,298.6,118.4,D
-29.224,152.306,344.4,1.7,1.3,2019-11-27,00:20,T,86,6.0NRT,301.2,84.7,D
-29.213,152.309,331,1.7,1.3,2019-11-27,00:20,T,72,6.0NRT,301,42.1,D
-29.254,153.325,327.5,2,1.4,2019-11-27,00:20,T,44,6.0NRT,303.7,30.8,D
-29.2,152.762,338.6,1.8,1.3,2019-11-27,00:20,T,30,6.0NRT,297.2,63.2,D
-29.205,152.934,326.1,1.8,1.3,2019-11-27,00:20,T,72,6.0NRT,301.5,27,D
-24.366,148.479,353,1,1,2019-11-27,00:20,T,95,6.0NRT,313.4,42.9,D
-24.54,151.579,327.7,1.3,1.1,2019-11-27,00:20,T,34,6.0NRT,300.5,21.1,D
-19.036,146.611,315.5,1.2,1.1,2019-11-27,00:20,T,64,6.0NRT,300.3,12.1,D
-19.03,146.635,312.8,1.2,1.1,2019-11-27,00:20,T,50,6.0NRT,299.7,9.3,D
